시설명,시설주소,경도,위도,시설종류상세명,동이름,일인가구비율,cctv개수,건물가점,파출소거리역수값,백미터반경주택수
서울특별시립영등포쪽방상담소,서울특별시 영등포구 경인로 823-2 (영등포동4가),126.9044183,37.5158884,노숙인등이용시설,영등포본동,0.19715184,3,3,0.2889026,21
서울시립영등포보현종합지원센터,서울특별시 영등포구 버드나루로24 (영등포동2가),126.9125756,37.5212439,노숙인등이용시설,영등포본동,0.19715184,2,2,0.1373703,0
대길푸른초장,서울특별시 영등포구 영등포로84길 24-14,126.9215045,37.5115856,정신재활시설,대림2동,0.380264072,1,2,0.0830318,75
송천쉼터,서울특별시 영등포구 당산로48길 10마약퇴치운동본부당산동6가,126.9033198,37.5345207,정신재활시설,영등포본동,0.19715184,11,0,0.4886894,0
영등포재가노인지원센터,서울특별시 영등포구 선유서로34길 10 (양평동3가),126.887446,37.5268666,재가노인복지시설,영등포동,0.58699101,3,0,0.1324765,7
구립영등포노인복지센터 병설 데이케어센터,서울특별시 영등포구 선유서로34길 103층 (양평동3가),126.8876521,37.5274632,재가노인복지시설,대림2동,0.380264072,0,1,0.0711767,4
해오름장애인자립생활센터,서울특별시 영등포구 국회대로62길 14한국스카우트연맹 302호 (여의도동),126.9164787,37.526704,장애인기타,영등포동,0.58699101,0,0,0.0862588,0
이음장애인자립생활센터,서울특별시 영등포구 선유로 1461213호 (양평동3가),126.8871899,37.5144029,장애인기타,영등포동,0.58699101,0,0,0.0984917,0
좋은사람들,서울특별시 영등포구 도림로 188-13층,126.9018957,37.4958169,정신재활시설,영등포동,0.58699101,5,2,0.2617868,61
에녹요양협동조합 주야간보호센터,서울특별시 영등포구 가마산로 3133층 (대림동),126.9158774,37.5033616,재가노인복지시설,영등포동,0.58699101,0,0,0.0670816,0
한국마약퇴치운동본부 중독재활센터,서울특별시 영등포구 당산로 238 (당산동6가),126.9028559,37.5345254,정신재활시설,영등포동,0.58699101,10,0,0.547766,0
